,0
27,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.39883152]))"
28,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.23409336]))"
29,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.72337696]))"
30,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.13833399]))"
31,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.8774234]))"
32,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.86477819]))"
33,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.21184346]))"
34,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.65664427]))"
35,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.41555826]))"
36,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.28465543]))"
37,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.98511544]))"
38,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.06365265]))"
39,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.97274424]))"
40,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.86770448]))"
41,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.46576567]))"
42,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.36074536]))"
43,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.2613284]))"
44,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.32192834]))"
45,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.68531001]))"
46,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.94030134]))"
47,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.26489632]))"
48,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.80376099]))"
49,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.08483827]))"
50,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.94360501]))"
51,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.6752548]))"
52,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.94312717]))"
53,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.89899397]))"
54,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.4419654]))"
55,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.98242584]))"
56,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.71990625]))"
57,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.39883152]))"
58,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.23409336]))"
59,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.72337696]))"
60,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.13833399]))"
61,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.8774234]))"
62,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.86477819]))"
63,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.21184346]))"
64,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.65664427]))"
65,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.41555826]))"
66,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.28465543]))"
67,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.98511544]))"
68,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.06365265]))"
69,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.97274424]))"
70,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.86770448]))"
71,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.46576567]))"
72,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.36074536]))"
73,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.2613284]))"
74,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.32192834]))"
75,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.68531001]))"
76,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.94030134]))"
77,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.26489632]))"
78,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.80376099]))"
79,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.08483827]))"
80,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.94360501]))"
81,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.6752548]))"
82,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.94312717]))"
83,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.89899397]))"
84,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.4419654]))"
85,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.98242584]))"
86,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.71990625]))"
87,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.39883152]))"
88,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.23409336]))"
89,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.72337696]))"
90,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.13833399]))"
91,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.8774234]))"
92,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.86477819]))"
93,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.21184346]))"
94,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.65664427]))"
95,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.41555826]))"
96,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.28465543]))"
97,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.98511544]))"
98,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.06365265]))"
99,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.97274424]))"
100,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.86770448]))"
101,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.46576567]))"
102,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.36074536]))"
103,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.2613284]))"
104,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.32192834]))"
105,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.68531001]))"
106,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.94030134]))"
107,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.26489632]))"
108,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.80376099]))"
109,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.08483827]))"
110,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.94360501]))"
111,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.6752548]))"
112,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.94312717]))"
113,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.89899397]))"
114,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.4419654]))"
115,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.98242584]))"
116,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.71990625]))"
117,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.39883152]))"
118,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.23409336]))"
119,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.72337696]))"
120,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.13833399]))"
121,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.8774234]))"
122,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.86477819]))"
123,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.21184346]))"
124,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.65664427]))"
125,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.41555826]))"
126,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.28465543]))"
127,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.98511544]))"
128,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.06365265]))"
129,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.97274424]))"
130,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.86770448]))"
131,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.46576567]))"
132,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.36074536]))"
133,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.2613284]))"
134,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.32192834]))"
135,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.68531001]))"
136,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.94030134]))"
137,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.26489632]))"
138,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.80376099]))"
139,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.08483827]))"
140,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.94360501]))"
141,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.6752548]))"
142,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.94312717]))"
143,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.89899397]))"
144,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.4419654]))"
145,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.98242584]))"
146,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.71990625]))"
147,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.39883152]))"
148,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.23409336]))"
149,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.72337696]))"
150,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.13833399]))"
151,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.8774234]))"
152,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.86477819]))"
153,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.21184346]))"
154,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.65664427]))"
155,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.41555826]))"
156,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.28465543]))"
157,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.98511544]))"
158,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.06365265]))"
159,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.97274424]))"
160,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.86770448]))"
161,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.46576567]))"
162,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.36074536]))"
163,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.2613284]))"
164,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.32192834]))"
165,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.68531001]))"
166,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.94030134]))"
167,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.26489632]))"
168,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.80376099]))"
169,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.08483827]))"
170,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.94360501]))"
171,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.6752548]))"
172,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.94312717]))"
173,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.89899397]))"
174,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.4419654]))"
175,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.98242584]))"
176,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.71990625]))"
177,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.39883152]))"
178,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.23409336]))"
179,"Mul(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.72337696]))"
180,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.13833399]))"
181,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.8774234]))"
182,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.86477819]))"
183,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.21184346]))"
184,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.65664427]))"
185,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.41555826]))"
186,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.28465543]))"
187,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.98511544]))"
188,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.06365265]))"
189,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.97274424]))"
190,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.86770448]))"
191,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.46576567]))"
192,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.36074536]))"
193,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.2613284]))"
194,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.32192834]))"
195,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.68531001]))"
196,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.94030134]))"
197,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.26489632]))"
198,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.80376099]))"
199,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.08483827]))"
200,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.94360501]))"
201,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.6752548]))"
202,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.94312717]))"
203,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.89899397]))"
204,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.4419654]))"
205,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.98242584]))"
206,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.71990625]))"
207,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[2.39883152]))"
208,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.23409336]))"
209,"Sub(Add(X[:,0],X[:,1]),Mul(X[:,2],[1.72337696]))"
210,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.13833399]))"
211,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.8774234]))"
212,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.86477819]))"
213,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.21184346]))"
214,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.65664427]))"
215,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.41555826]))"
216,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.28465543]))"
217,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.98511544]))"
218,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.06365265]))"
219,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.97274424]))"
220,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.86770448]))"
221,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.46576567]))"
222,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.36074536]))"
223,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.2613284]))"
224,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.32192834]))"
225,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.68531001]))"
226,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.94030134]))"
227,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.26489632]))"
228,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.80376099]))"
229,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.08483827]))"
230,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.94360501]))"
231,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.6752548]))"
232,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.94312717]))"
233,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.89899397]))"
234,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.4419654]))"
235,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.98242584]))"
236,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.71990625]))"
237,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[2.39883152]))"
238,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.23409336]))"
239,"Div(Pow(X[:,0],X[:,1]),Div(X[:,2],[1.72337696]))"
240,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.13833399]))"
241,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.8774234]))"
242,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.86477819]))"
243,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.21184346]))"
244,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.65664427]))"
245,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.41555826]))"
246,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.28465543]))"
247,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.98511544]))"
248,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.06365265]))"
249,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.97274424]))"
250,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.86770448]))"
251,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.46576567]))"
252,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.36074536]))"
253,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.2613284]))"
254,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.32192834]))"
255,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.68531001]))"
256,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.94030134]))"
257,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.26489632]))"
258,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.80376099]))"
259,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.08483827]))"
260,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.94360501]))"
261,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.6752548]))"
262,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.94312717]))"
263,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.89899397]))"
264,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.4419654]))"
265,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.98242584]))"
266,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.71990625]))"
267,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[2.39883152]))"
268,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.23409336]))"
269,"Mul(Mul(X[:,0],X[:,1]),Pow(X[:,2],[1.72337696]))"
270,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.13833399]))"
271,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.8774234]))"
272,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.86477819]))"
273,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.21184346]))"
274,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.65664427]))"
275,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.41555826]))"
276,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.28465543]))"
277,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.98511544]))"
278,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.06365265]))"
279,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.97274424]))"
280,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.86770448]))"
281,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.46576567]))"
282,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.36074536]))"
283,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.2613284]))"
284,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.32192834]))"
285,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.68531001]))"
286,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.94030134]))"
287,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.26489632]))"
288,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.80376099]))"
289,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.08483827]))"
290,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.94360501]))"
291,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.6752548]))"
292,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.94312717]))"
293,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.89899397]))"
294,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.4419654]))"
295,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.98242584]))"
296,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.71990625]))"
297,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[2.39883152]))"
298,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.23409336]))"
299,"Pow(Div(X[:,0],X[:,1]),Div(X[:,2],[1.72337696]))"
