,0
25,"Pow(Sub(X[:,0],2.823828864636039),Sub(X[:,1],2.3559354790576292))"
26,"Pow(Sub(X[:,0],1.0741888264688157),Sub(X[:,1],1.701312782566266))"
27,"Pow(Sub(X[:,0],2.753364927146147),Sub(X[:,1],2.6155857010396506))"
28,"Pow(Sub(X[:,0],1.870843964868756),Sub(X[:,1],1.5196732590734792))"
29,"Pow(Sub(X[:,0],1.3186864877342892),Sub(X[:,1],1.03504452352427))"
30,"Pow(Sub(X[:,0],2.7043143646107444),Sub(X[:,1],1.7425747905101734))"
31,"Pow(Sub(X[:,0],2.6930829902341005),Sub(X[:,1],2.717724113693793))"
32,"Pow(Sub(X[:,0],2.3398878106709113),Sub(X[:,1],2.785923294783295))"
33,"Pow(Sub(X[:,0],1.743161952371829),Sub(X[:,1],1.8318859160150964))"
34,"Pow(Sub(X[:,0],2.2054159956044543),Sub(X[:,1],2.663705475031133))"
35,"Pow(Sub(X[:,0],1.290723908988386),Sub(X[:,1],2.38277852092169))"
36,"Pow(Sub(X[:,0],2.580802514531318),Sub(X[:,1],1.111176844869815))"
37,"Pow(Sub(X[:,0],1.5105927776638777),Sub(X[:,1],1.1910418017577862))"
38,"Pow(Sub(X[:,0],1.7227346566207475),Sub(X[:,1],1.474885123520631))"
39,"Pow(Sub(X[:,0],2.514457389782258),Sub(X[:,1],2.0023321845328503))"
40,"Mul(Add(X[:,0],2.5291851404809966),Sub(X[:,1],1.9347853662941044))"
41,"Mul(Add(X[:,0],1.6924758189102929),Sub(X[:,1],1.5275570585600395))"
42,"Mul(Add(X[:,0],1.976342176608016),Sub(X[:,1],1.0078417816591276))"
43,"Mul(Add(X[:,0],1.8153714573542872),Sub(X[:,1],2.7971423097694466))"
44,"Mul(Add(X[:,0],2.8871544092871906),Sub(X[:,1],2.4755985547328185))"
45,"Mul(Add(X[:,0],2.823828864636039),Sub(X[:,1],2.3559354790576292))"
46,"Mul(Add(X[:,0],1.0741888264688157),Sub(X[:,1],1.701312782566266))"
47,"Mul(Add(X[:,0],2.753364927146147),Sub(X[:,1],2.6155857010396506))"
48,"Mul(Add(X[:,0],1.870843964868756),Sub(X[:,1],1.5196732590734792))"
49,"Mul(Add(X[:,0],1.3186864877342892),Sub(X[:,1],1.03504452352427))"
50,"Mul(Add(X[:,0],2.7043143646107444),Sub(X[:,1],1.7425747905101734))"
51,"Mul(Add(X[:,0],2.6930829902341005),Sub(X[:,1],2.717724113693793))"
52,"Mul(Add(X[:,0],2.3398878106709113),Sub(X[:,1],2.785923294783295))"
53,"Mul(Add(X[:,0],1.743161952371829),Sub(X[:,1],1.8318859160150964))"
54,"Mul(Add(X[:,0],2.2054159956044543),Sub(X[:,1],2.663705475031133))"
55,"Mul(Add(X[:,0],1.290723908988386),Sub(X[:,1],2.38277852092169))"
56,"Mul(Add(X[:,0],2.580802514531318),Sub(X[:,1],1.111176844869815))"
57,"Mul(Add(X[:,0],1.5105927776638777),Sub(X[:,1],1.1910418017577862))"
58,"Mul(Add(X[:,0],1.7227346566207475),Sub(X[:,1],1.474885123520631))"
59,"Mul(Add(X[:,0],2.514457389782258),Sub(X[:,1],2.0023321845328503))"
60,"Div(Mul(X[:,0],2.5291851404809966),Mul(X[:,1],1.9347853662941044))"
61,"Div(Mul(X[:,0],1.6924758189102929),Mul(X[:,1],1.5275570585600395))"
62,"Div(Mul(X[:,0],1.976342176608016),Mul(X[:,1],1.0078417816591276))"
63,"Div(Mul(X[:,0],1.8153714573542872),Mul(X[:,1],2.7971423097694466))"
64,"Div(Mul(X[:,0],2.8871544092871906),Mul(X[:,1],2.4755985547328185))"
65,"Div(Mul(X[:,0],2.823828864636039),Mul(X[:,1],2.3559354790576292))"
66,"Div(Mul(X[:,0],1.0741888264688157),Mul(X[:,1],1.701312782566266))"
67,"Div(Mul(X[:,0],2.753364927146147),Mul(X[:,1],2.6155857010396506))"
68,"Div(Mul(X[:,0],1.870843964868756),Mul(X[:,1],1.5196732590734792))"
69,"Div(Mul(X[:,0],1.3186864877342892),Mul(X[:,1],1.03504452352427))"
70,"Div(Mul(X[:,0],2.7043143646107444),Mul(X[:,1],1.7425747905101734))"
71,"Div(Mul(X[:,0],2.6930829902341005),Mul(X[:,1],2.717724113693793))"
72,"Div(Mul(X[:,0],2.3398878106709113),Mul(X[:,1],2.785923294783295))"
73,"Div(Mul(X[:,0],1.743161952371829),Mul(X[:,1],1.8318859160150964))"
74,"Div(Mul(X[:,0],2.2054159956044543),Mul(X[:,1],2.663705475031133))"
75,"Div(Mul(X[:,0],1.290723908988386),Mul(X[:,1],2.38277852092169))"
76,"Div(Mul(X[:,0],2.580802514531318),Mul(X[:,1],1.111176844869815))"
77,"Div(Mul(X[:,0],1.5105927776638777),Mul(X[:,1],1.1910418017577862))"
78,"Div(Mul(X[:,0],1.7227346566207475),Mul(X[:,1],1.474885123520631))"
79,"Div(Mul(X[:,0],2.514457389782258),Mul(X[:,1],2.0023321845328503))"
80,"Mul(Pow(X[:,0],2.5291851404809966),Sub(X[:,1],1.9347853662941044))"
81,"Mul(Pow(X[:,0],1.6924758189102929),Sub(X[:,1],1.5275570585600395))"
82,"Mul(Pow(X[:,0],1.976342176608016),Sub(X[:,1],1.0078417816591276))"
83,"Mul(Pow(X[:,0],1.8153714573542872),Sub(X[:,1],2.7971423097694466))"
84,"Mul(Pow(X[:,0],2.8871544092871906),Sub(X[:,1],2.4755985547328185))"
85,"Mul(Pow(X[:,0],2.823828864636039),Sub(X[:,1],2.3559354790576292))"
86,"Mul(Pow(X[:,0],1.0741888264688157),Sub(X[:,1],1.701312782566266))"
87,"Mul(Pow(X[:,0],2.753364927146147),Sub(X[:,1],2.6155857010396506))"
88,"Mul(Pow(X[:,0],1.870843964868756),Sub(X[:,1],1.5196732590734792))"
89,"Mul(Pow(X[:,0],1.3186864877342892),Sub(X[:,1],1.03504452352427))"
90,"Mul(Pow(X[:,0],2.7043143646107444),Sub(X[:,1],1.7425747905101734))"
91,"Mul(Pow(X[:,0],2.6930829902341005),Sub(X[:,1],2.717724113693793))"
92,"Mul(Pow(X[:,0],2.3398878106709113),Sub(X[:,1],2.785923294783295))"
93,"Mul(Pow(X[:,0],1.743161952371829),Sub(X[:,1],1.8318859160150964))"
94,"Mul(Pow(X[:,0],2.2054159956044543),Sub(X[:,1],2.663705475031133))"
95,"Mul(Pow(X[:,0],1.290723908988386),Sub(X[:,1],2.38277852092169))"
96,"Mul(Pow(X[:,0],2.580802514531318),Sub(X[:,1],1.111176844869815))"
97,"Mul(Pow(X[:,0],1.5105927776638777),Sub(X[:,1],1.1910418017577862))"
98,"Mul(Pow(X[:,0],1.7227346566207475),Sub(X[:,1],1.474885123520631))"
99,"Mul(Pow(X[:,0],2.514457389782258),Sub(X[:,1],2.0023321845328503))"
100,"Mul(Add(X[:,0],2.5291851404809966),Mul(X[:,1],1.9347853662941044))"
101,"Mul(Add(X[:,0],1.6924758189102929),Mul(X[:,1],1.5275570585600395))"
102,"Mul(Add(X[:,0],1.976342176608016),Mul(X[:,1],1.0078417816591276))"
103,"Mul(Add(X[:,0],1.8153714573542872),Mul(X[:,1],2.7971423097694466))"
104,"Mul(Add(X[:,0],2.8871544092871906),Mul(X[:,1],2.4755985547328185))"
105,"Mul(Add(X[:,0],2.823828864636039),Mul(X[:,1],2.3559354790576292))"
106,"Mul(Add(X[:,0],1.0741888264688157),Mul(X[:,1],1.701312782566266))"
107,"Mul(Add(X[:,0],2.753364927146147),Mul(X[:,1],2.6155857010396506))"
108,"Mul(Add(X[:,0],1.870843964868756),Mul(X[:,1],1.5196732590734792))"
109,"Mul(Add(X[:,0],1.3186864877342892),Mul(X[:,1],1.03504452352427))"
110,"Mul(Add(X[:,0],2.7043143646107444),Mul(X[:,1],1.7425747905101734))"
111,"Mul(Add(X[:,0],2.6930829902341005),Mul(X[:,1],2.717724113693793))"
112,"Mul(Add(X[:,0],2.3398878106709113),Mul(X[:,1],2.785923294783295))"
113,"Mul(Add(X[:,0],1.743161952371829),Mul(X[:,1],1.8318859160150964))"
114,"Mul(Add(X[:,0],2.2054159956044543),Mul(X[:,1],2.663705475031133))"
115,"Mul(Add(X[:,0],1.290723908988386),Mul(X[:,1],2.38277852092169))"
116,"Mul(Add(X[:,0],2.580802514531318),Mul(X[:,1],1.111176844869815))"
117,"Mul(Add(X[:,0],1.5105927776638777),Mul(X[:,1],1.1910418017577862))"
118,"Mul(Add(X[:,0],1.7227346566207475),Mul(X[:,1],1.474885123520631))"
119,"Mul(Add(X[:,0],2.514457389782258),Mul(X[:,1],2.0023321845328503))"
120,"Sub(Add(X[:,0],2.5291851404809966),Mul(X[:,1],1.9347853662941044))"
121,"Sub(Add(X[:,0],1.6924758189102929),Mul(X[:,1],1.5275570585600395))"
122,"Sub(Add(X[:,0],1.976342176608016),Mul(X[:,1],1.0078417816591276))"
123,"Sub(Add(X[:,0],1.8153714573542872),Mul(X[:,1],2.7971423097694466))"
124,"Sub(Add(X[:,0],2.8871544092871906),Mul(X[:,1],2.4755985547328185))"
125,"Sub(Add(X[:,0],2.823828864636039),Mul(X[:,1],2.3559354790576292))"
126,"Sub(Add(X[:,0],1.0741888264688157),Mul(X[:,1],1.701312782566266))"
127,"Sub(Add(X[:,0],2.753364927146147),Mul(X[:,1],2.6155857010396506))"
128,"Sub(Add(X[:,0],1.870843964868756),Mul(X[:,1],1.5196732590734792))"
129,"Sub(Add(X[:,0],1.3186864877342892),Mul(X[:,1],1.03504452352427))"
130,"Sub(Add(X[:,0],2.7043143646107444),Mul(X[:,1],1.7425747905101734))"
131,"Sub(Add(X[:,0],2.6930829902341005),Mul(X[:,1],2.717724113693793))"
132,"Sub(Add(X[:,0],2.3398878106709113),Mul(X[:,1],2.785923294783295))"
133,"Sub(Add(X[:,0],1.743161952371829),Mul(X[:,1],1.8318859160150964))"
134,"Sub(Add(X[:,0],2.2054159956044543),Mul(X[:,1],2.663705475031133))"
135,"Sub(Add(X[:,0],1.290723908988386),Mul(X[:,1],2.38277852092169))"
136,"Sub(Add(X[:,0],2.580802514531318),Mul(X[:,1],1.111176844869815))"
137,"Sub(Add(X[:,0],1.5105927776638777),Mul(X[:,1],1.1910418017577862))"
138,"Sub(Add(X[:,0],1.7227346566207475),Mul(X[:,1],1.474885123520631))"
139,"Sub(Add(X[:,0],2.514457389782258),Mul(X[:,1],2.0023321845328503))"
140,"Div(Pow(X[:,0],2.5291851404809966),Div(X[:,1],1.9347853662941044))"
141,"Div(Pow(X[:,0],1.6924758189102929),Div(X[:,1],1.5275570585600395))"
142,"Div(Pow(X[:,0],1.976342176608016),Div(X[:,1],1.0078417816591276))"
143,"Div(Pow(X[:,0],1.8153714573542872),Div(X[:,1],2.7971423097694466))"
144,"Div(Pow(X[:,0],2.8871544092871906),Div(X[:,1],2.4755985547328185))"
145,"Div(Pow(X[:,0],2.823828864636039),Div(X[:,1],2.3559354790576292))"
146,"Div(Pow(X[:,0],1.0741888264688157),Div(X[:,1],1.701312782566266))"
147,"Div(Pow(X[:,0],2.753364927146147),Div(X[:,1],2.6155857010396506))"
148,"Div(Pow(X[:,0],1.870843964868756),Div(X[:,1],1.5196732590734792))"
149,"Div(Pow(X[:,0],1.3186864877342892),Div(X[:,1],1.03504452352427))"
150,"Div(Pow(X[:,0],2.7043143646107444),Div(X[:,1],1.7425747905101734))"
151,"Div(Pow(X[:,0],2.6930829902341005),Div(X[:,1],2.717724113693793))"
152,"Div(Pow(X[:,0],2.3398878106709113),Div(X[:,1],2.785923294783295))"
153,"Div(Pow(X[:,0],1.743161952371829),Div(X[:,1],1.8318859160150964))"
154,"Div(Pow(X[:,0],2.2054159956044543),Div(X[:,1],2.663705475031133))"
155,"Div(Pow(X[:,0],1.290723908988386),Div(X[:,1],2.38277852092169))"
156,"Div(Pow(X[:,0],2.580802514531318),Div(X[:,1],1.111176844869815))"
157,"Div(Pow(X[:,0],1.5105927776638777),Div(X[:,1],1.1910418017577862))"
158,"Div(Pow(X[:,0],1.7227346566207475),Div(X[:,1],1.474885123520631))"
159,"Div(Pow(X[:,0],2.514457389782258),Div(X[:,1],2.0023321845328503))"
160,"Mul(Mul(X[:,0],2.5291851404809966),Pow(X[:,1],1.9347853662941044))"
161,"Mul(Mul(X[:,0],1.6924758189102929),Pow(X[:,1],1.5275570585600395))"
162,"Mul(Mul(X[:,0],1.976342176608016),Pow(X[:,1],1.0078417816591276))"
163,"Mul(Mul(X[:,0],1.8153714573542872),Pow(X[:,1],2.7971423097694466))"
164,"Mul(Mul(X[:,0],2.8871544092871906),Pow(X[:,1],2.4755985547328185))"
165,"Mul(Mul(X[:,0],2.823828864636039),Pow(X[:,1],2.3559354790576292))"
166,"Mul(Mul(X[:,0],1.0741888264688157),Pow(X[:,1],1.701312782566266))"
167,"Mul(Mul(X[:,0],2.753364927146147),Pow(X[:,1],2.6155857010396506))"
168,"Mul(Mul(X[:,0],1.870843964868756),Pow(X[:,1],1.5196732590734792))"
169,"Mul(Mul(X[:,0],1.3186864877342892),Pow(X[:,1],1.03504452352427))"
170,"Mul(Mul(X[:,0],2.7043143646107444),Pow(X[:,1],1.7425747905101734))"
171,"Mul(Mul(X[:,0],2.6930829902341005),Pow(X[:,1],2.717724113693793))"
172,"Mul(Mul(X[:,0],2.3398878106709113),Pow(X[:,1],2.785923294783295))"
173,"Mul(Mul(X[:,0],1.743161952371829),Pow(X[:,1],1.8318859160150964))"
174,"Mul(Mul(X[:,0],2.2054159956044543),Pow(X[:,1],2.663705475031133))"
175,"Mul(Mul(X[:,0],1.290723908988386),Pow(X[:,1],2.38277852092169))"
176,"Mul(Mul(X[:,0],2.580802514531318),Pow(X[:,1],1.111176844869815))"
177,"Mul(Mul(X[:,0],1.5105927776638777),Pow(X[:,1],1.1910418017577862))"
178,"Mul(Mul(X[:,0],1.7227346566207475),Pow(X[:,1],1.474885123520631))"
179,"Mul(Mul(X[:,0],2.514457389782258),Pow(X[:,1],2.0023321845328503))"
180,"Pow(Div(X[:,0],2.5291851404809966),Div(X[:,1],1.9347853662941044))"
181,"Pow(Div(X[:,0],1.6924758189102929),Div(X[:,1],1.5275570585600395))"
182,"Pow(Div(X[:,0],1.976342176608016),Div(X[:,1],1.0078417816591276))"
183,"Pow(Div(X[:,0],1.8153714573542872),Div(X[:,1],2.7971423097694466))"
184,"Pow(Div(X[:,0],2.8871544092871906),Div(X[:,1],2.4755985547328185))"
185,"Pow(Div(X[:,0],2.823828864636039),Div(X[:,1],2.3559354790576292))"
186,"Pow(Div(X[:,0],1.0741888264688157),Div(X[:,1],1.701312782566266))"
187,"Pow(Div(X[:,0],2.753364927146147),Div(X[:,1],2.6155857010396506))"
188,"Pow(Div(X[:,0],1.870843964868756),Div(X[:,1],1.5196732590734792))"
189,"Pow(Div(X[:,0],1.3186864877342892),Div(X[:,1],1.03504452352427))"
190,"Pow(Div(X[:,0],2.7043143646107444),Div(X[:,1],1.7425747905101734))"
191,"Pow(Div(X[:,0],2.6930829902341005),Div(X[:,1],2.717724113693793))"
192,"Pow(Div(X[:,0],2.3398878106709113),Div(X[:,1],2.785923294783295))"
193,"Pow(Div(X[:,0],1.743161952371829),Div(X[:,1],1.8318859160150964))"
194,"Pow(Div(X[:,0],2.2054159956044543),Div(X[:,1],2.663705475031133))"
195,"Pow(Div(X[:,0],1.290723908988386),Div(X[:,1],2.38277852092169))"
196,"Pow(Div(X[:,0],2.580802514531318),Div(X[:,1],1.111176844869815))"
197,"Pow(Div(X[:,0],1.5105927776638777),Div(X[:,1],1.1910418017577862))"
198,"Pow(Div(X[:,0],1.7227346566207475),Div(X[:,1],1.474885123520631))"
199,"Pow(Div(X[:,0],2.514457389782258),Div(X[:,1],2.0023321845328503))"
